score,repo,title,issueUrl,updatedAt,labels,query
60,Scottcjn/rustchain-bounties,[EASY BOUNTY: 1 RTC] Add a CONTRIBUTING.md to any repo missing one,https://github.com/Scottcjn/rustchain-bounties/issues/1605,2026-05-12T07:12:50Z,"documentation, good first issue, bounty, easy","is:issue is:open ""bounty"" ""good first issue"" -security -vulnerability -audit"
0,ubiquity/business-development,GitHub Based Marketing,https://github.com/ubiquity/business-development/issues/90,2026-05-11T14:11:43Z,"Time: <1 Day, Priority: 3 (High), Price: 200 USD","is:issue is:open ""bounty"" ""good first issue"" -security -vulnerability -audit"
50,Scottcjn/rustchain-bounties,Write a Review of RustChain — 5 RTC (Good First Issue),https://github.com/Scottcjn/rustchain-bounties/issues/443,2026-04-30T22:34:04Z,"good first issue, bounty, easy","is:issue is:open ""bounty"" ""good first issue"" -security -vulnerability -audit"
0,OmniBlocks/monorepo,MORE CI            MWAAAAAAAAAHHHAHAHAHAHAHAHHAHAHAHAHAHAHAHAHAHAHAHAHHH,https://github.com/OmniBlocks/monorepo/issues/118,2026-04-11T00:51:52Z,"enhancement, Medium-Priority","is:issue is:open ""bounty"" ""good first issue"" -security -vulnerability -audit"
0,chatmcp/mcpso,Submit Your MCP Servers here,https://github.com/chatmcp/mcpso/issues/1,2026-05-12T07:27:55Z,,"is:issue is:open ""paid"" ""bounty"" -security -vulnerability -audit"
35,Scottcjn/rustchain-bounties,[EASY BOUNTY: 2 RTC] Translate 5 BoTTube Video Descriptions,https://github.com/Scottcjn/rustchain-bounties/issues/1108,2026-05-12T00:37:00Z,"bounty, easy, bottube","is:issue is:open ""paid"" ""bounty"" -security -vulnerability -audit"
35,prasenjeet-symon/shipli-ai,Create a logo for Shipli,https://github.com/prasenjeet-symon/shipli-ai/issues/2,2026-05-11T09:29:19Z,"help wanted, bounty, design",is:issue is:open label:bounty -security -vulnerability -audit
35,Scottcjn/rustchain-bounties,[BOUNTY: 30 RTC] Build a VS Code Extension — RustChain Wallet & Miner Dashboard,https://github.com/Scottcjn/rustchain-bounties/issues/2868,2026-05-11T01:01:59Z,"help wanted, bounty, major, integration",is:issue is:open label:bounty -security -vulnerability -audit
